abru1239	por	pēṭṭa	N
abru1239	xarnišeró	khaṇḍá	N
abru1239	yidž	hiyás	N
aret1240	aṛó	ardhá	N
aret1240	aẽṭhīˊ	aṣṭhi	N
aret1240	bada	badhnāˊti	V
aret1240	baguṭṓ	bhakkha	N
aret1240	bay	bhayá	N
aret1240	bačṓr	bhakṣakāra	N
aret1240	bidók	bhitta	N
aret1240	bleaṭo	mr̥gá	N
aret1240	bli	mriyátē	V
aret1240	blosón	bhartsana	N
aret1240	blämúr	bhramara	N
aret1240	blīk	mr̥tá	N
aret1240	blō	bhrāˊtr̥	N
aret1240	buguno	bukka	N
aret1240	buni	bundha	N
aret1240	bäṛo	biḍḍa	N
aret1240	bústəṛ	būsta	N
aret1240	bāba	bāppa	N
aret1240	bēen	bhēna	N
aret1240	bōre	bahís	N
aret1240	bəṛṓ	buṭṭa	N
aret1240	dambə	dumbaka	N
aret1240	dašáp	śatápad	N
aret1240	deṣṭo	jyḗṣṭha	N
aret1240	diō˜ˊṛ	dēhīkaṇṭha	N
aret1240	dräm	dharmin	N
aret1240	drāet	dāˊtra	N
aret1240	drēn	druṇa	N
aret1240	drēṣṭ	diṣṭi	N
aret1240	drīi	dīrghá	N
aret1240	dār	dāˊru	N
aret1240	dīās	divasá	N
aret1240	dōr	dāˊru	N
aret1240	dōčin	dákṣiṇa	N
aret1240	ezi	hásati	V
aret1240	ezi	hāsayati	V
aret1240	ezi	ámbara	N
aret1240	gaṇ	ghaná	N
aret1240	golóṅ	gōgrāmaka	N
aret1240	goṓn	ghaná	N
aret1240	gāu	gātú	N
aret1240	gā̤ṛ	ghaná	N
aret1240	gō	gava	N
aret1240	gō	gṓ	N
aret1240	gəšín	gōśrayaṇa	N
aret1240	išō̃	yūṣa	N
aret1240	išó	śvāvídh	N
aret1240	kandīˊ	skandhá	N
aret1240	kaniṣṭo	kaniṣṭhá	N
aret1240	kaníṣṭ	kaniṣṭhá	N
aret1240	kar	kāra	N
aret1240	kaya	kapi	N
aret1240	kašmīr	kāśmīra	N
aret1240	kiroṛ	kilāṭa	N
aret1240	kiṣinmɔ̈̄li	kr̥ṣṇamallikā	N
aret1240	kã̄ṛagṓ	kaṭāṅka	N
aret1240	kōṇ	kāˊṇḍa	N
aret1240	kūič	kukṣí	N
aret1240	kə́wit	kapittha	N
aret1240	lamuk	laghú	N
aret1240	len	lavaṇá	N
aret1240	leč	lōcya	N
aret1240	leč	rúśant	N
aret1240	liōṛ	graivakaṭa	N
aret1240	lohi	bhrāˊjatē	V
aret1240	läč	lakṣati	V
aret1240	läǰǰəm	ālīyatē	V
aret1240	lāeṣṭ	laṣṭi	N
aret1240	lētr	lavítra	N
aret1240	līm	dumbha	N
aret1240	lōeṭ	laṭṭa	N
aret1240	lṓeč	lōpāśá	N
aret1240	lẽrṓ	liṭṭa	N
aret1240	maeṣṓ	mahiṣá	N
aret1240	mainž	mádhya	N
aret1240	mastrák	masta	N
aret1240	matrek	maṇḍūˊka	N
aret1240	mãdänī	manthana	N
aret1240	mãžanṓ	úpamuñcatē	V
aret1240	moul	mātulá	N
aret1240	mučək	mákṣā	N
aret1240	mũdoṓ	mūrdhán	N
aret1240	mã̄ṛ	márdati	V
aret1240	māaš	māṣya	N
aret1240	māċ	mátsya	N
aret1240	mōyek	māˊsa	N
aret1240	mōčak	mártya	N
aret1240	mūč	mūṣa	N
aret1240	naweu	navatí	N
aret1240	nawəčo	nakhá	N
aret1240	ničawóṛ	caturthá	N
aret1240	nolī	nabhalikā	N
aret1240	nutaṛī	tr̥tīˊya	N
aret1240	nádī	nadīˊ	N
aret1240	náweu	návadaśa	N
aret1240	nāu	náva	N
aret1240	nāāk	nāvyāˋ	N
aret1240	nōm	nāˊman	N
aret1240	nōəst	nasta	N
aret1240	nəgṓ	náva	N
aret1240	papūˊs	phupphusa	N
aret1240	paĩnyū	páñcadaśa	N
aret1240	paṣūˊ	párśu	N
aret1240	phisū	phissa	N
aret1240	phisūˊ	sphij	N
aret1240	phī	sphiyá	N
aret1240	pisã̄so	puśśī	N
aret1240	piān	pijānāti	V
aret1240	piāˊlo	pītala	N
aret1240	piṇḍer	píṇḍa	N
aret1240	piṛik	pr̥thú	N
aret1240	plaǰṓr	prajvāra	N
aret1240	plen	kūrma	N
aret1240	plō̃alek	kr̥muká	N
aret1240	pläguṛṓ	karkuṭaka	N
aret1240	plāist	pratiṣṭhāˊ	N
aret1240	plēič	plúṣi	N
aret1240	plīeu	pīˊvan	N
aret1240	plō	plīhán	N
aret1240	plōm	kárman	N
aret1240	plōnīš	prāṇīśa	N
aret1240	plōor	prahāra	N
aret1240	plōwo	svāpra	N
aret1240	pō̃eš	svāmín	N
aret1240	puer	pūr	N
aret1240	purāˊno	purāṇá	N
aret1240	putriem	putrá	N
aret1240	pušék	púṣya	N
aret1240	páḍḍak	páttra	N
aret1240	pān	pánthā	N
aret1240	pō	pāˊda	N
aret1240	pōn	pāˊna	N
aret1240	pōn	pāˊna	N
aret1240	pōn	śvāna	N
aret1240	pōu	pāṁśu	N
aret1240	pōwok	pōta	N
aret1240	pṓru	paraśvas	N
aret1240	pṓru	pārá	N
aret1240	resiló	rasín	N
aret1240	sawótilden	suvānāˊ	N
aret1240	seu	sḗtu	N
aret1240	siō	síkatā	N
aret1240	sudurāˊ	sundara	N
aret1240	susík	śōṣya	N
aret1240	sutṓn	sutthanā	N
aret1240	suōr	sūkará	N
aret1240	síwon	sīvana	N
aret1240	sāt	saptá	N
aret1240	sā̤yo	svásr̥	N
